,人口
区域,中国
次国家,
频率,"年, 年终12月"
单位,百万人
数据来源,国家统计局
状态,继续
数列ID,4942801 (CGGA)
SR码,SR56264
贸易代码,
助记符,
函数说明,
首次观测日期,1949
最后观测日期,2023
最后更新时间,17/01/2024
数列备注,1981年及以前人口数据为户籍统计数
建议,
平均 MEAN,1039.951466666667
方差,81585.8616451171
标准差,285.63238899872175
偏度,-0.2853235937351041
峰度,-1.3374747379157783
变异系数,0.2746593453195011
最小,541.67
最大,1412.6
中位数,1075.07
总和 SUM,77996.36000000002
减 SUBTRACT,-870.93
参照期间,75
1949,541.67
1950,551.96
1951,563
1952,574.82
1953,587.96
1954,602.66
1955,614.65
1956,628.28
1957,646.53
1958,659.94
1959,672.07
1960,662.07
1961,658.59
1962,672.95
1963,691.72
1964,704.99
1965,725.38
1966,745.42
1967,763.68
1968,785.34
1969,806.71
1970,829.92
1971,852.29
1972,871.77
1973,892.11
1974,908.59
1975,924.2
1976,937.17
1977,949.74
1978,962.59
1979,975.42
1980,987.05
1981,1000.72
1982,1016.54
1983,1030.08
1984,1043.57
1985,1058.51
1986,1075.07
1987,1093
1988,1110.26
1989,1127.04
1990,1143.33
1991,1158.23
1992,1171.71
1993,1185.17
1994,1198.5
1995,1211.21
1996,1223.89
1997,1236.26
1998,1247.61
1999,1257.86
2000,1267.43
2001,1276.27
2002,1284.53
2003,1292.27
2004,1299.88
2005,1307.56
2006,1314.48
2007,1321.29
2008,1328.02
2009,1334.5
2010,1340.91
2011,1349.16
2012,1359.22
2013,1367.26
2014,1376.46
2015,1383.26
2016,1392.32
2017,1400.11
2018,1405.41
2019,1410.08
2020,1412.12
2021,1412.6
2022,1411.75
2023,1409.67
