,人口数:城镇化率:常住
区域,中国
次国家,
频率,"年, 年终12月"
单位,%
数据来源,国家统计局
状态,继续
数列ID,506625557
SR码,SR207459217
贸易代码,
助记符,
函数说明,
首次观测日期,1982
最后观测日期,2023
最后更新时间,17/01/2024
数列备注,
建议,
平均 MEAN,41.37524988357144
方差,213.89306193461465
标准差,14.625083313766615
偏度,0.27540890419003916
峰度,-1.347027504798741
变异系数,0.3534741990663768
最小,21.13050151
最大,66.16
中位数,39.810006779999995
总和 SUM,1737.7604951100002
减 SUBTRACT,-45.029498489999995
参照期间,42
1982,21.13050151
1983,21.62356322
1984,23.01426833
1985,23.71
1986,24.52491466
1987,25.31930467
1988,25.81467404
1989,26.21024986
1990,26.41
1991,26.94
1992,27.46
1993,27.99
1994,28.51
1995,29.04
1996,30.48
1997,31.91
1998,33.35
1999,34.78
2000,36.22
2001,37.66
2002,39.08978381
2003,40.53022975
2004,41.76000862
2005,42.98999664
2006,44.34286667
2007,45.889
2008,46.98913333
2009,48.342
2010,49.95
2011,51.83
2012,53.1
2013,54.49
2014,55.75
2015,57.33
2016,58.84
2017,60.24
2018,61.5
2019,62.71
2020,63.89
2021,64.72
2022,65.22
2023,66.16
