,商品建筑销售价格：年初至今平均：住宅
区域,中国
次国家,
频率,月
单位,人民币/平方米
数据来源,国家统计局
状态,继续
数列ID,4006901 (CEGAA)
SR码,SR442077
贸易代码,
助记符,
函数说明,
首次观测日期,03/1998
最后观测日期,10/2024
最后更新时间,15/11/2024
数列备注,[COVID-19-IMPACT]
建议,
平均 MEAN,5605.930537848748
方差,9108987.206049034
标准差,3018.109873090944
偏度,0.3589315493255287
峰度,-1.231373109641661
变异系数,0.5383780360305946
最小,1757.93117551
最大,11228
中位数,5303
总和 SUM,1793897.7721115998
减 SUBTRACT,-9470.06882449
参照期间,320
03/1998,1933.64226674
04/1998,2011.42075629
05/1998,2014.95942579
06/1998,1992.71104247
07/1998,1965.41086349
08/1998,1975.31487135
09/1998,1935.58261507
10/1998,1907.98139651
11/1998,1887.50546813
12/1998,1806.60376367
01/1999,2053.09316248
02/1999,2053.09316248
03/1999,1865.46543757
04/1999,1757.93117551
05/1999,1838.7537929
06/1999,1782.75562422
07/1999,1808.44269685
08/1999,1805.20056611
09/1999,1816.4935111
10/1999,1816.60851152
11/1999,1840.81489557
12/1999,1804.72483633
01/2000,2129.90701138
02/2000,2129.90701138
03/2000,1945.67211807
04/2000,1931.82873595
05/2000,1972.51214684
06/2000,1931.52568668
07/2000,1912.6528597
08/2000,1922.81284342
09/2000,1917.93560205
10/2000,1915.1117134
11/2000,1961.70615239
12/2000,1951.60300432
01/2001,2295.2179816
02/2001,2295.2179816
03/2001,2188.80861858
04/2001,2160.33622687
05/2001,2196.51835951
06/2001,2137.07068018
07/2001,2137.6798353
08/2001,2119.9510904
09/2001,2089.99437165
10/2001,2088.48583278
11/2001,2091.88452655
12/2001,2067.87038504
01/2002,2266.11526532
02/2002,2266.11526532
03/2002,2165.94418222
04/2002,2129.40590894
05/2002,2102.78575014
06/2002,2140.38903284
07/2002,2166.09467746
08/2002,2170.32563483
09/2002,2227.04639361
10/2002,2215.58301896
11/2002,2211.12991509
12/2002,2129.5481612
01/2003,2343.73993285
02/2003,2343.73993285
03/2003,2329.91936148
04/2003,2298.76416488
05/2003,2288.63009738
06/2003,2265.77918511
07/2003,2252.80628389
08/2003,2270.96049396
09/2003,2314.00066521
10/2003,2329.61157836
11/2003,2313.34904411
12/2003,2211.68551357
01/2004,2452.66998375
02/2004,2452.66998375
03/2004,2480.54321052
04/2004,2437.20927702
05/2004,2478.76293004
06/2004,2487.00153795
07/2004,2480.15962406
08/2004,2524.6580412
09/2004,2566.46370636
10/2004,2565.86430389
11/2004,2579.88398661
12/2004,2548.60873291
01/2005,2930.12878171
02/2005,2930.12878171
03/2005,2820.18506299
04/2005,2751.82492187
05/2005,2755.92917973
06/2005,2782.9936728
07/2005,2751.27038122
08/2005,2996.30548263
09/2005,3043.44592718
10/2005,3061.4003169
11/2005,3106.5924467
12/2005,3009.57816242
01/2006,3174.44028042
02/2006,3174.44028042
03/2006,3066.75313461
04/2006,3123.3141813
05/2006,3199.49049338
06/2006,3194.33456082
07/2006,3191.35181607
08/2006,3204.76761002
09/2006,3201.30421919
10/2006,3198.64888349
11/2006,3246.49274709
12/2006,3132.44010636
01/2007,3824.17637511
02/2007,3824.17637511
03/2007,3526.12461323
04/2007,3518.72957039
05/2007,3553.00335066
06/2007,3567.66276709
07/2007,3620.63355578
08/2007,3679.84930896
09/2007,3727.37
10/2007,3763
11/2007,3782
12/2007,3665
01/2008,3938
02/2008,3938
03/2008,3719
04/2008,3724
05/2008,3785
06/2008,3787
07/2008,3788
08/2008,3774
09/2008,3715
10/2008,3710
11/2008,3699
12/2008,3655
01/2009,4406
02/2009,4406
03/2009,4265
04/2009,4352
05/2009,4450
06/2009,4460
07/2009,4513
08/2009,4562
09/2009,4526
10/2009,4554
11/2009,4587
12/2009,4474
01/2010,5508
02/2010,5508
03/2010,4932
04/2010,5060
05/2010,4959
06/2010,4760
07/2010,4706
08/2010,4711
09/2010,4754
10/2010,4811
11/2010,4818
12/2010,4724
01/2011,6140
02/2011,6140
03/2011,5431
04/2011,5306
05/2011,5303
06/2011,5190
07/2011,5186
08/2011,5184
09/2011,5140
10/2011,5131
11/2011,5096
12/2011,5011
01/2012,5502
02/2012,5502
03/2012,5303
04/2012,5393
05/2012,5482
06/2012,5467
07/2012,5540
08/2012,5567
09/2012,5549
10/2012,5539
11/2012,5495
12/2012,5430
01/2013,6639
02/2013,6639
03/2013,6346
04/2013,6313
05/2013,6248
06/2013,6122
07/2013,6097
08/2013,6076
09/2013,6023
10/2013,6006
11/2013,5936
12/2013,5850
01/2014,6383
02/2014,6383
03/2014,6213
04/2014,6224
05/2014,6173
06/2014,6033
07/2014,6024
08/2014,6010
09/2014,5987
10/2014,5976
11/2014,5955
12/2014,5932
01/2015,6464
02/2015,6464
03/2015,6258
04/2015,6406
05/2015,6492
06/2015,6520
07/2015,6581
08/2015,6602
09/2015,6544
10/2015,6535
11/2015,6513
12/2015,6472
01/2016,7394
02/2016,7394
03/2016,7400
04/2016,7448
05/2016,7417
06/2016,7322
07/2016,7337
08/2016,7362
09/2016,7373
10/2016,7339
11/2016,7287
12/2016,7203
01/2017,7333
02/2017,7333
03/2017,7612
04/2017,7653
05/2017,7644
06/2017,7609
07/2017,7624
08/2017,7625
09/2017,7634
10/2017,7620
11/2017,7598
12/2017,7614
01/2018,8292
02/2018,8292
03/2018,8275
04/2018,8349
05/2018,8427
06/2018,8467
07/2018,8499
08/2018,8529
09/2018,8539
10/2018,8521
11/2018,8542
12/2018,8544
01/2019,8952
02/2019,8952
03/2019,8954
04/2019,9205
05/2019,9243
06/2019,9269
07/2019,9315
08/2019,9319
09/2019,9316
10/2019,9301
11/2019,9304
12/2019,9287
01/2020,9611
02/2020,9611
03/2020,9324
04/2020,9457
05/2020,9606
06/2020,9757
07/2020,9844
08/2020,9951
09/2020,9989
10/2020,9986
11/2020,9995
12/2020,9980
01/2021,11228
02/2021,11228
03/2021,10842
04/2021,10842
05/2021,10817
06/2021,10702
07/2021,10679
08/2021,10635
09/2021,10565
10/2021,10513
11/2021,10463
12/2021,10396
01/2022,10141
02/2022,10141
03/2022,9912
04/2022,9859
05/2022,9863
06/2022,9936
07/2022,10036
08/2022,10119
09/2022,10151
10/2022,10140
11/2022,10142
12/2022,10185
01/2023,10558
02/2023,10558
03/2023,10532
04/2023,10926
05/2023,11099
06/2023,10978
07/2023,10965
08/2023,10957
09/2023,10899
10/2023,10896
11/2023,10894
12/2023,10864
01/2024,9653
02/2024,9653
03/2024,9778.79843734
04/2024,9978
05/2024,10136
06/2024,10288
07/2024,10305
08/2024,10317
09/2024,10246.98918147
10/2024,10324.01175
