,商品房竣工套数:住宅
区域,中国
次国家,
频率,"年, 年终12月"
单位,套
数据来源,国家统计局
状态,继续
数列ID,305425101 (CRKATLA)
SR码,SR4663808
贸易代码,
助记符,
函数说明,
首次观测日期,1999
最后观测日期,2023
最后更新时间,18/10/2024
数列备注,
建议,
平均 MEAN,5363642.88
方差,3552974739388.6094
标准差,1884933.6167060656
偏度,-0.538909646316486
峰度,-1.0976120511703487
变异系数,0.3514278744646895
最小,1946358
最大,7659418
中位数,6019767
总和 SUM,134091072
减 SUBTRACT,-5713060
参照期间,25
1999,1946358
2000,2139702
2001,2414392
2002,2629616
2003,3021134
2004,4042219
2005,3682523
2006,4005305
2007,4401203
2008,4939189
2009,5548897
2010,6019767
2011,7219163
2012,7642379
2013,7493133
2014,7659418
2015,7050109
2016,7455409
2017,6770598
2018,6229216
2019,6452838
2020,5976595
2021,6468266
2022,6277094
2023,6606549
