,房屋销售面积:35个城市:住宅
区域,中国
次国家,
频率,"年, 年终12月"
单位,千平方米
数据来源,国家统计局
状态,继续
数列ID,116110601 (CRKAGXO)
SR码,SR1266287
贸易代码,
助记符,
函数说明,
首次观测日期,1999
最后观测日期,2023
最后更新时间,21/10/2024
数列备注,
建议,
平均 MEAN,302725.9026399999
方差,16671012827.956167
标准差,129116.2763866592
偏度,-0.40215151717421965
峰度,-0.9659408640031417
变异系数,0.4265121526128658
最小,66348.026
最大,479700.669
中位数,321418.13
总和 SUM,7568147.565999999
减 SUBTRACT,-413352.643
参照期间,25
1999,66348.026
2000,84732.499
2001,102142.947
2002,122381.068
2003,149751.502
2004,172077.6
2005,246401.396
2006,252587.301
2007,306508.874
2008,229579.906
2009,348617.07
2010,327940.818
2011,321418.13
2012,348558.45
2013,398155.709
2014,364423.774
2015,392412.083
2016,479700.669
2017,455391.696
2018,455049.716
2019,456737.699
2020,454502.217
2021,448244.189
2022,304496.672
2023,279987.555
